anime_id,episodes,aired,premiered
1,26,Apr-1998,"Spring 1998"
2,1,Sep-2001,NULL
3,26,Apr-1998,"Spring 1998"
4,26,Jul-2002,"Summer 2002"
5,52,Sep-2004,"Fall 2004"
6,145,Apr-2005,"Spring 2005"
7,24,Apr-2005,"Spring 2005"
8,52,Sep-2002,"Fall 2002"
9,24,Apr-2004,"Spring 2004"
10,74,Apr-2004,"Spring 2004"
11,220,Oct-2002,"Fall 2002"
12,0,Oct-1999,"Fall 1999"
13,178,Oct-2001,"Fall 2001"
14,12,Oct-2004,"Fall 2004"
15,26,Oct-2004,"Fall 2004"
16,24,Oct-2004,"Fall 2004"
17,22,Apr-2003,"Spring 2003"
18,24,Apr-2005,"Spring 2005"
19,69,Oct-2004,"Fall 2004"
20,26,Oct-2004,"Fall 2004"
21,26,Oct-1995,"Fall 1995"
22,1,Mar-1997,NULL
23,1,Jul-1997,NULL
24,25,Oct-1997,"Fall 1997"
25,1,Nov-1995,NULL
26,4,Feb-1999,NULL
27,94,Jan-1996,"Winter 1996"
28,1,Dec-1997,NULL
29,1,Jul-1988,NULL
30,26,Apr-2002,"Spring 2002"
31,5,Feb-1993,NULL
32,24,Jan-2005,"Winter 2005"
33,3,May-2000,NULL
34,26,Apr-2001,"Spring 2001"
35,24,Apr-2002,"Spring 2002"
36,1,Apr-2004,NULL
37,26,Apr-1999,"Spring 1999"
38,13,Oct-2003,"Fall 2003"
39,26,Oct-2004,"Fall 2004"
40,26,Oct-1999,"Fall 1999"
41,26,Apr-2002,"Spring 2002"
42,24,Nov-2003,"Fall 2003"
43,26,Apr-2003,"Spring 2003"
44,26,Jul-2003,"Summer 2003"
45,12,Jul-2004,"Summer 2004"
46,12,Oct-2004,"Fall 2004"
47,12,Oct-2005,"Fall 2005"
48,26,Apr-2002,"Spring 2002"
49,24,Apr-2005,"Spring 2005"
50,23,Oct-2005,"Fall 2005"
51,25,Oct-2005,"Fall 2005"
52,24,Jan-2002,"Winter 2002"
53,12,Aug-2003,"Summer 2003"
54,13,Jul-2005,"Summer 2005"
55,26,Oct-2004,"Fall 2004"
56,25,Jul-2004,"Summer 2004"
57,13,Oct-2004,"Fall 2004"
58,13,Oct-2005,"Fall 2005"
59,24,Jul-2005,"Summer 2005"
60,43,Apr-1979,"Spring 1979"
61,12,Jan-1996,NULL
62,6,Mar-1989,NULL
63,1,Aug-1998,NULL
64,13,May-1991,NULL
65,50,Mar-1985,"Spring 1985"
66,47,Mar-1986,"Spring 1986"
67,1,Mar-1988,NULL
68,1,Mar-1991,NULL
69,51,Apr-1993,"Spring 1993"
70,49,Apr-1995,"Spring 1995"
71,3,Jan-1997,NULL
72,39,Apr-1996,"Spring 1996"
73,50,Oct-2002,"Fall 2002"
74,50,Oct-2004,"Fall 2004"
75,50,Apr-1999,"Spring 1999"
76,49,Apr-1994,"Spring 1994"
77,26,Apr-2003,"Spring 2003"
78,26,Sep-2004,"Fall 2004"
79,26,Oct-2005,"Fall 2005"
80,13,Apr-2001,"Spring 2001"
81,12,Jan-2005,"Winter 2005"
82,26,Apr-2004,"Spring 2004"
83,74,Jan-1994,"Winter 1994"
84,24,Apr-2000,"Spring 2000"
85,13,Apr-2000,"Spring 2000"
86,51,Sep-1996,"Fall 1996"
87,13,May-2002,"Spring 2002"
88,3,Jan-2004,NULL
89,24,Apr-2004,"Spring 2004"
90,52,Apr-1997,"Spring 1997"
91,52,Apr-1999,"Spring 1999"
92,8,Jan-2004,"Winter 2004"
93,26,Apr-2003,"Spring 2003"
94,26,Oct-2003,"Fall 2003"
95,13,Jan-1998,"Winter 1998"
96,26,Oct-1995,"Fall 1995"
97,7,May-1995,NULL
98,4,Mar-1997,NULL
99,13,Oct-2004,"Fall 2004"
100,26,Jul-2001,"Summer 2001"
101,51,Oct-2003,"Fall 2003"
102,52,Apr-2002,"Spring 2002"
103,52,Apr-1995,"Spring 1995"
104,4,Dec-2001,NULL
105,13,Oct-2004,"Fall 2004"
106,13,Apr-2005,"Spring 2005"
107,24,Apr-2000,"Spring 2000"
108,6,Apr-2002,NULL
109,50,Apr-2000,"Spring 2000"
110,25,Oct-2003,"Fall 2003"
111,26,Apr-2004,"Spring 2004"
112,49,Oct-2002,"Fall 2002"
113,12,Jul-2003,"Summer 2003"
114,13,Oct-2003,"Fall 2003"
115,75,Oct-2001,"Fall 2001"
116,62,Oct-1999,"Fall 1999"
117,8,Jan-2002,NULL
118,8,Feb-2003,NULL
119,14,Mar-2004,NULL
120,12,Jan-2005,"Winter 2005"
121,44,Feb-1999,"Winter 1999"
122,12,Oct-2004,"Fall 2004"
123,13,Jan-2002,"Winter 2002"
124,26,Oct-1998,"Fall 1998"
125,12,Apr-2004,"Spring 2004"
126,14,Oct-2003,"Fall 2003"
127,12,Jan-2004,"Winter 2004"
128,12,Apr-2005,"Spring 2005"
129,50,Oct-2005,"Fall 2005"
130,3,Jul-2004,NULL
131,24,Oct-2005,"Fall 2005"
132,45,Apr-2002,"Spring 2002"
133,64,Jul-2001,"Summer 2001"
134,1,Aug-1996,NULL
135,24,Oct-2001,"Fall 2001"
136,26,Jan-2005,"Winter 2005"
137,13,Jan-2004,"Winter 2004"
138,24,Apr-2004,"Spring 2004"
139,13,Oct-1999,"Fall 1999"
140,24,Oct-2003,"Fall 2003"
141,26,Apr-2002,"Spring 2002"
142,26,Apr-1999,"Spring 1999"
143,1,Jul-1997,NULL
144,26,Jan-2002,"Winter 2002"
145,26,Jun-2004,"Summer 2004"
146,24,Apr-2003,"Spring 2003"
147,26,Jul-2001,"Summer 2001"
148,12,Oct-2003,"Fall 2003"
149,101,Oct-1993,"Fall 1993"
150,13,Jul-2000,"Summer 2000"
151,25,Oct-2004,"Fall 2004"
152,24,Apr-2004,"Spring 2004"
153,26,Apr-2002,"Spring 2002"
154,4,Jul-2003,NULL
155,26,Apr-2005,"Spring 2005"
156,26,May-2003,"Spring 2003"
157,1,Aug-2002,NULL
158,13,Oct-2000,"Fall 2000"
159,13,Oct-2001,"Fall 2001"
160,26,Apr-1996,"Spring 1996"
161,39,May-2002,"Spring 2002"
162,12,Jan-2005,"Winter 2005"
163,26,Apr-1998,"Spring 1998"
164,13,Oct-1999,"Fall 1999"
165,1,Jan-2001,NULL
166,4,Sep-1998,NULL
167,24,Apr-2000,"Spring 2000"
168,3,Jan-2002,NULL
169,1,Dec-2000,NULL
170,1,Apr-2001,NULL
171,24,Oct-2003,"Fall 2003"
172,5,Dec-2002,NULL
173,12,Jan-2002,"Winter 2002"
174,12,Jul-2003,"Summer 2003"
175,24,Apr-2002,"Spring 2002"
176,24,Apr-2005,"Spring 2005"
177,1,Jul-2001,NULL
178,50,Apr-2002,"Spring 2002"
179,6,Mar-1992,NULL
180,26,Jan-2003,"Winter 2003"
181,5,Aug-1999,NULL
182,12,Jan-2004,"Winter 2004"
183,26,May-2004,"Spring 2004"
184,27,Apr-1998,"Spring 1998"
185,13,Jun-1990,NULL
186,3,May-2001,NULL
187,26,Sep-2003,"Fall 2003"
188,161,Apr-1989,"Spring 1989"
189,2,Sep-2001,NULL
190,1,Jun-1986,NULL
191,3,Oct-1997,NULL
192,3,Oct-1998,NULL
193,6,Dec-1999,NULL
194,1,Oct-2002,NULL
195,5,Oct-1994,NULL
196,26,Oct-1996,"Fall 1996"
197,1,Aug-1998,NULL
198,4,Oct-1999,NULL
199,2,May-2000,NULL
200,13,Jan-2004,"Winter 2004"
201,153,Feb-1986,"Winter 1986"
202,64,Feb-1996,"Winter 1996"
203,13,Jul-2004,"Summer 2004"
204,6,Apr-2000,NULL
205,26,Oct-2005,"Fall 2005"
206,12,Jul-2004,"Summer 2004"
207,27,Apr-2003,"Spring 2003"
208,26,Jul-2002,"Summer 2002"
209,70,Apr-1998,"Spring 1998"
210,78,Mar-2000,"Spring 2000"
211,26,Apr-2004,"Spring 2004"
212,0,Jan-1996,"Winter 1996"
213,26,Apr-2003,"Spring 2003"
214,50,Apr-2005,"Spring 2005"
215,42,Jul-1997,"Summer 1997"
216,24,Oct-2004,"Fall 2004"
217,12,Oct-2004,"Fall 2004"
218,11,Jul-2004,"Summer 2004"
219,13,Jan-2004,"Winter 2004"
220,13,Oct-2000,"Fall 2000"
221,39,Jul-2004,"Summer 2004"
222,43,Jun-1999,"Summer 1999"
223,51,Oct-2001,"Fall 2001"
224,26,Oct-2004,"Fall 2004"
225,12,Apr-2005,"Spring 2005"
226,167,Oct-2000,"Fall 2000"
227,150,Apr-2003,"Spring 2003"
228,78,Apr-2004,"Spring 2004"
229,26,Apr-2004,"Spring 2004"
230,26,Apr-2001,"Spring 2001"
231,6,Aug-2002,NULL
232,7,Dec-2003,NULL
233,1,Feb-2002,NULL
234,13,Jul-2003,"Summer 2003"
235,4,May-2003,NULL
236,5,Jul-2001,NULL
237,13,Apr-2002,"Spring 2002"
238,13,Jul-2003,"Summer 2003"
239,3,May-2004,NULL
240,75,Oct-2000,"Fall 2000"
241,1,Apr-2003,NULL
242,1,Sep-2003,NULL
243,12,Feb-2003,"Winter 2003"
244,26,Oct-2003,"Fall 2003"
245,6,Oct-1995,NULL
246,366,Oct-2004,"Fall 2004"
247,13,Oct-2001,"Fall 2001"
248,26,Apr-2003,"Spring 2003"
249,26,Apr-2001,"Spring 2001"
250,12,Jan-2003,"Winter 2003"
251,24,Oct-2002,"Fall 2002"
252,9,May-2004,"Spring 2004"
253,12,Oct-2001,"Fall 2001"
254,14,Sep-2002,"Fall 2002"
255,51,Oct-2004,"Fall 2004"
256,13,Oct-2003,"Fall 2003"
257,51,Oct-2005,"Fall 2005"
258,3,Nov-2004,NULL
259,50,Oct-2005,"Fall 2005"
260,50,Jan-1979,"Winter 1979"
261,12,Jan-2004,"Winter 2004"
262,25,Oct-2000,"Fall 2000"
263,25,Apr-1996,"Spring 1996"
264,24,Jan-2001,"Winter 2001"
265,51,Jan-2001,"Winter 2001"
266,13,Apr-2001,"Spring 2001"
267,13,Jan-1999,"Winter 1999"
268,26,Jul-2005,"Summer 2005"
269,26,Apr-2003,"Spring 2003"
270,16,Nov-1999,"Fall 1999"
271,13,Jul-2003,"Summer 2003"
272,13,Jan-2004,"Winter 2004"
273,38,Jul-2002,"Summer 2002"
274,12,Oct-2004,"Fall 2004"
275,12,Jan-2003,"Winter 2003"
276,4,Jun-2002,NULL
277,4,Jul-1991,NULL
278,13,Jun-2003,"Summer 2003"
279,26,Apr-1978,"Spring 1978"
280,48,Apr-1998,"Spring 1998"
281,1,Oct-2000,NULL
282,4,May-1991,NULL
283,13,Apr-2002,"Spring 2002"
284,39,Jan-1973,"Winter 1973"
285,26,May-2005,"Spring 2005"
286,13,Jul-2005,"Summer 2005"
287,50,Apr-1991,"Spring 1991"
288,26,Oct-1973,"Fall 1973"
289,12,Oct-1989,NULL
290,1,Sep-1979,NULL
291,13,Jul-1988,NULL
292,1,Jul-1997,NULL
293,3,Aug-1994,NULL
294,1,Sep-2005,NULL
295,10,Jul-2000,"Summer 2000"
296,3,Dec-2002,NULL
297,2,Feb-1998,NULL
298,12,Oct-2001,"Fall 2001"
299,12,Oct-2005,"Fall 2005"
300,13,Feb-2004,"Winter 2004"
301,47,Oct-1989,"Fall 1989"
302,25,Jan-2005,"Winter 2005"
303,4,Mar-1999,"Winter 1999"
304,26,Sep-2002,"Fall 2002"
305,10,Nov-2002,"Fall 2002"
306,26,Oct-2003,"Fall 2003"
307,13,Apr-2004,"Spring 2004"
308,45,Oct-1994,"Fall 1994"
309,38,Apr-2000,"Spring 2000"
310,51,Jan-1992,"Winter 1992"
311,76,Mar-1994,"Spring 1994"
312,26,Apr-2003,"Spring 2003"
313,13,Nov-2004,"Fall 2004"
314,24,Mar-2002,"Spring 2002"
315,40,Oct-1979,"Fall 1979"
316,13,Jul-1998,"Summer 1998"
317,26,Apr-2004,"Spring 2004"
318,25,Oct-2002,"Fall 2002"
319,13,Jan-2005,"Winter 2005"
320,25,Oct-2004,"Fall 2004"
321,20,Nov-2003,"Fall 2003"
322,12,Apr-2005,"Spring 2005"
323,13,Oct-2004,"Fall 2004"
324,22,Oct-1999,"Fall 1999"
325,13,Oct-2003,"Fall 2003"
326,13,Jan-2005,"Winter 2005"
327,51,Feb-1999,"Winter 1999"
328,49,Feb-2000,"Winter 2000"
329,50,Feb-2001,"Winter 2001"
330,51,Feb-2002,"Winter 2002"
331,12,Jan-2005,"Winter 2005"
332,24,Oct-2005,"Fall 2005"
333,24,Jan-2006,"Winter 2006"
334,4,Mar-2005,NULL
335,6,Feb-2005,NULL
336,2,Dec-2002,NULL
337,12,Jan-1999,"Winter 1999"
338,3,Nov-2001,NULL
339,3,Jan-2003,NULL
340,4,May-2004,NULL
341,37,Jan-2005,"Winter 2005"
342,1,Apr-1998,NULL
343,7,Apr-1997,NULL
344,3,Dec-1995,NULL
345,6,Jul-2001,NULL
346,12,Jan-2000,"Winter 2000"
347,13,Dec-1997,"Winter 1998"
348,1,Aug-1999,NULL
349,1,Jul-2000,NULL
350,6,Oct-1992,NULL
351,12,Sep-1998,NULL
352,12,Jan-1998,"Winter 1998"
353,1,Apr-2005,NULL
354,6,Jul-2000,NULL
355,1,Apr-2002,NULL
356,26,Oct-1999,"Fall 1999"
357,3,Oct-1996,NULL
358,6,May-1997,NULL
359,4,Jul-2002,NULL
360,24,Apr-2001,"Spring 2001"
361,13,Apr-2004,"Spring 2004"
362,26,Nov-2003,"Fall 2003"
363,41,Jun-1995,"Summer 1995"
364,13,Oct-2002,"Fall 2002"
365,52,Oct-2005,"Fall 2005"
366,6,Mar-2005,NULL
367,26,Jul-2005,"Summer 2005"
368,4,Nov-2004,NULL
369,112,Oct-1992,"Fall 1992"
370,1,Jun-2000,NULL
371,12,Oct-2003,"Fall 2003"
372,13,Aug-2004,"Summer 2004"
373,13,Apr-2000,"Spring 2000"
374,10,Jul-2001,"Summer 2001"
375,2,Aug-2005,NULL
376,1,Jul-2001,NULL
377,24,Jan-1998,"Winter 1998"
378,2,Dec-2001,NULL
379,1,Feb-2005,NULL
380,12,Apr-2001,"Spring 2001"
